state,county,NAME,median_income,population,year
37,043,"Clay County, North Carolina",36711.0,10506,2011
37,051,"Cumberland County, North Carolina",44861.0,316478,2011
37,081,"Guilford County, North Carolina",46288.0,483081,2011
37,099,"Jackson County, North Carolina",36826.0,39574,2011
37,139,"Pasquotank County, North Carolina",45298.0,40511,2011
37,155,"Robeson County, North Carolina",30874.0,133033,2011
37,173,"Swain County, North Carolina",40719.0,13932,2011
37,183,"Wake County, North Carolina",65289.0,879658,2011
37,007,"Anson County, North Carolina",34659.0,26788,2011
37,111,"McDowell County, North Carolina",35230.0,44825,2011
37,069,"Franklin County, North Carolina",44598.0,59607,2011
37,103,"Jones County, North Carolina",40687.0,10066,2011
37,113,"Macon County, North Carolina",38653.0,33719,2011
37,019,"Brunswick County, North Carolina",45132.0,105242,2011
37,175,"Transylvania County, North Carolina",41103.0,32670,2011
37,013,"Beaufort County, North Carolina",40986.0,47392,2011
37,047,"Columbus County, North Carolina",34938.0,57264,2011
37,109,"Lincoln County, North Carolina",50279.0,77035,2011
37,123,"Montgomery County, North Carolina",32946.0,27673,2011
37,135,"Orange County, North Carolina",56055.0,131856,2011
37,153,"Richmond County, North Carolina",31847.0,46546,2011
37,163,"Sampson County, North Carolina",36832.0,63161,2011
37,171,"Surry County, North Carolina",36788.0,73473,2011
37,011,"Avery County, North Carolina",37985.0,17844,2011
37,021,"Buncombe County, North Carolina",44321.0,236230,2011
37,025,"Cabarrus County, North Carolina",54280.0,174730,2011
37,033,"Caswell County, North Carolina",37926.0,23734,2011
37,059,"Davie County, North Carolina",50562.0,40985,2011
37,057,"Davidson County, North Carolina",44728.0,161724,2011
37,061,"Duplin County, North Carolina",34264.0,57627,2011
37,063,"Durham County, North Carolina",50078.0,263862,2011
37,091,"Hertford County, North Carolina",31969.0,24469,2011
37,105,"Lee County, North Carolina",44836.0,56787,2011
37,129,"New Hanover County, North Carolina",48893.0,200336,2011
37,141,"Pender County, North Carolina",44568.0,51441,2011
37,191,"Wayne County, North Carolina",41751.0,121324,2011
37,165,"Scotland County, North Carolina",30465.0,36227,2011
37,189,"Watauga County, North Carolina",34497.0,50421,2011
37,083,"Halifax County, North Carolina",31370.0,54988,2011
37,001,"Alamance County, North Carolina",44430.0,149439,2011
37,177,"Tyrrell County, North Carolina",34071.0,4379,2011
38,089,"Stark County, North Dakota",54269.0,23973,2011
38,103,"Wells County, North Dakota",42035.0,4242,2011
38,013,"Burke County, North Dakota",54402.0,1959,2011
38,061,"Mountrail County, North Dakota",56593.0,7482,2011
38,105,"Williams County, North Dakota",62082.0,22046,2011
38,007,"Billings County, North Dakota",53846.0,890,2011
38,043,"Kidder County, North Dakota",37105.0,2499,2011
38,019,"Cavalier County, North Dakota",49293.0,3994,2011
38,037,"Grant County, North Dakota",41821.0,2458,2011
38,049,"McHenry County, North Dakota",41989.0,5400,2011
38,091,"Steele County, North Dakota",49485.0,1962,2011
38,005,"Benson County, North Dakota",32149.0,6665,2011
38,045,"LaMoure County, North Dakota",49922.0,4184,2011
38,059,"Morton County, North Dakota",55196.0,27076,2011
38,025,"Dunn County, North Dakota",52861.0,3535,2011
38,051,"McIntosh County, North Dakota",35757.0,2857,2011
38,063,"Nelson County, North Dakota",41961.0,3141,2011
38,079,"Rolette County, North Dakota",27662.0,13885,2011
38,099,"Walsh County, North Dakota",46453.0,11196,2011
38,009,"Bottineau County, North Dakota",44399.0,6412,2011
38,003,"Barnes County, North Dakota",43730.0,11048,2011
38,035,"Grand Forks County, North Dakota",46050.0,66662,2011
38,053,"McKenzie County, North Dakota",53902.0,6262,2011
38,055,"McLean County, North Dakota",52996.0,8923,2011
38,069,"Pierce County, North Dakota",40139.0,4361,2011
38,075,"Renville County, North Dakota",50093.0,2440,2011
38,011,"Bowman County, North Dakota",50487.0,3125,2011
38,015,"Burleigh County, North Dakota",56231.0,80225,2011
38,047,"Logan County, North Dakota",42069.0,1996,2011
38,065,"Oliver County, North Dakota",61131.0,1793,2011
38,093,"Stutsman County, North Dakota",46317.0,20973,2011
38,071,"Ramsey County, North Dakota",44452.0,11400,2011
38,031,"Foster County, North Dakota",47500.0,3389,2011
38,039,"Griggs County, North Dakota",43000.0,2408,2011
38,083,"Sheridan County, North Dakota",38235.0,1271,2011
38,087,"Slope County, North Dakota",55625.0,721,2011
39,159,"Union County, Ohio",68279.0,51539,2011
39,131,"Pike County, Ohio",39669.0,28685,2011
39,125,"Paulding County, Ohio",43683.0,19615,2011
39,061,"Hamilton County, Ohio",49218.0,801223,2011
39,049,"Franklin County, Ohio",50045.0,1153671,2011
39,101,"Marion County, Ohio",41337.0,66503,2011
39,157,"Tuscarawas County, Ohio",42846.0,92561,2011
39,169,"Wayne County, Ohio",49261.0,114508,2011
39,015,"Brown County, Ohio",46046.0,44688,2011
39,017,"Butler County, Ohio",55497.0,366167,2011
39,067,"Harrison County, Ohio",36920.0,15864,2011
39,083,"Knox County, Ohio",48734.0,60623,2011
39,089,"Licking County, Ohio",54699.0,165110,2011
39,139,"Richland County, Ohio",43098.0,125241,2011
39,163,"Vinton County, Ohio",34399.0,13457,2011
39,019,"Carroll County, Ohio",43323.0,28913,2011
39,063,"Hancock County, Ohio",49888.0,74847,2011
39,025,"Clermont County, Ohio",60219.0,196731,2011
39,045,"Fairfield County, Ohio",58249.0,145167,2011
39,039,"Defiance County, Ohio",46864.0,39066,2011
39,071,"Highland County, Ohio",40423.0,43631,2011
39,069,"Henry County, Ohio",48932.0,28353,2011
39,081,"Jefferson County, Ohio",39453.0,69672,2011
39,133,"Portage County, Ohio",51441.0,160713,2011
39,137,"Putnam County, Ohio",59378.0,34546,2011
39,013,"Belmont County, Ohio",39712.0,70346,2011
39,027,"Clinton County, Ohio",47264.0,42296,2011
39,047,"Fayette County, Ohio",39263.0,28955,2011
39,127,"Perry County, Ohio",42860.0,36024,2011
39,129,"Pickaway County, Ohio",51418.0,55509,2011
39,097,"Madison County, Ohio",54366.0,43151,2011
39,119,"Muskingum County, Ohio",40590.0,85997,2011
39,143,"Sandusky County, Ohio",47277.0,61088,2011
39,161,"Van Wert County, Ohio",45111.0,28880,2011
39,167,"Washington County, Ohio",43185.0,61946,2011
39,011,"Auglaize County, Ohio",52838.0,45986,2011
39,037,"Darke County, Ohio",45055.0,52907,2011
39,123,"Ottawa County, Ohio",53614.0,41508,2011
39,065,"Hardin County, Ohio",39945.0,32127,2011
39,079,"Jackson County, Ohio",37243.0,33176,2011
39,077,"Huron County, Ohio",48358.0,59813,2011
39,009,"Athens County, Ohio",33546.0,64562,2011
39,001,"Adams County, Ohio",34232.0,28551,2011
39,103,"Medina County, Ohio",65578.0,171327,2011
39,095,"Lucas County, Ohio",41949.0,442708,2011
39,121,"Noble County, Ohio",40239.0,14658,2011
39,147,"Seneca County, Ohio",41761.0,56901,2011
39,151,"Stark County, Ohio",45347.0,376142,2011
39,031,"Coshocton County, Ohio",40727.0,36974,2011
39,041,"Delaware County, Ohio",90022.0,170541,2011
39,055,"Geauga County, Ohio",66229.0,93476,2011
39,073,"Hocking County, Ohio",42227.0,29400,2011
39,085,"Lake County, Ohio",55968.0,229745,2011
39,141,"Ross County, Ohio",44577.0,77868,2011
39,035,"Cuyahoga County, Ohio",44088.0,1285279,2011
39,075,"Holmes County, Ohio",44746.0,42264,2011
39,109,"Miami County, Ohio",51438.0,102487,2011
39,111,"Monroe County, Ohio",38811.0,14709,2011
39,155,"Trumbull County, Ohio",42441.0,211403,2011
39,173,"Wood County, Ohio",53610.0,125566,2011
39,005,"Ashland County, Ohio",45641.0,53331,2011
40,043,"Dewey County, Oklahoma",41500.0,4773,2011
40,059,"Harper County, Oklahoma",44850.0,3641,2011
40,083,"Logan County, Oklahoma",50249.0,40863,2011
40,143,"Tulsa County, Oklahoma",47005.0,596873,2011
40,147,"Washington County, Oklahoma",47144.0,50791,2011
40,057,"Harmon County, Oklahoma",31211.0,2873,2011
40,061,"Haskell County, Oklahoma",37326.0,12677,2011
40,111,"Okmulgee County, Oklahoma",39324.0,39766,2011
40,113,"Osage County, Oklahoma",42847.0,47361,2011
40,067,"Jefferson County, Oklahoma",34256.0,6454,2011
40,047,"Garfield County, Oklahoma",41688.0,59680,2011
40,049,"Garvin County, Oklahoma",39171.0,27498,2011
40,121,"Pittsburg County, Oklahoma",41317.0,45562,2011
40,123,"Pontotoc County, Oklahoma",40641.0,37102,2011
40,129,"Roger Mills County, Oklahoma",54352.0,3591,2011
40,153,"Woodward County, Oklahoma",51087.0,20105,2011
40,021,"Cherokee County, Oklahoma",33990.0,46653,2011
40,041,"Delaware County, Oklahoma",35552.0,41295,2011
